id,name,government,rating,photo_url,maps_url
BCH-00021,Makadi Water World,Red Sea,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFblL7AHpAmc7lcaYw8wlHhQTN39rgTXSGbWS6OxSU5uJBVhNKX58C7BD1dqioax9LGLUJp1hiP9dUdNptbYptPWrgzk85IsRQUVGQZ7mmEsllkT4ZWaRSpXlIvyQi7RVzALZA=w408-h306-k-no,"https://www.google.com/maps/search/Makadi+Bay+Water+World,+Hurghada?hl=en"
BCH-00022,Mangroovy Beach,Red Sea,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHT_UbImASOyKSKrjjFCY9oICAHSLj9OmHPhfF1EnJBjqZFNknBAxpoaqcYo527dl58YhPdR0j8B_dKa0wwdr8mYjjcgDgr61epooVBA5X7mcL2LQf3kG627kZaBDOvBc6z0LtkSA=w423-h240-k-no,"https://www.google.com/maps/search/Mangroovy+Beach,+El+Gouna?hl=en"
BCH-00023,Marsa Mubarak,Red Sea,4.3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9FG2cXZEXk87KaQ11EAlPLK3tuoe82MYE6RyyLsuX7t4ht1HdKatqthfTF2mUWoVtOAPziz0f7vEHDaBJPzAGvdqmzkmpv2HXuB6wXWo0sNStWQk8gcEBfqHmXK_ZQzgyTeDK=w408-h306-k-no,"https://www.google.com/maps/search/Marsa+Mubarak,+Marsa+Alam?hl=en"
BCH-00024,Naama bay beach,South Sinai,4.3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGMDuxuH-8LzLbWBdFBxGYwfM1yOVvCDLHgglMVQiViud_FkbZWZ67N3LzMX1O3nSkZByX0ycf3RBmj5dRaDLPavFgk816oIJre1H8o98DnoXBnepZ5hQK-rDxWBvHLCRrRyg=w408-h306-k-no,"https://www.google.com/maps/place/Naama+bay+beach/@27.9082725,34.321679,16z/data=!4m10!1m2!2m1!1sNaama+Bay+Beach,+Sharm+El+Sheikh!3m6!1s0x1453393819b01149:0xe5d139be1a3a6e12!8m2!3d27.9082725!4d34.3268288!15sCiBOYWFtYSBCYXkgQmVhY2gsIFNoYXJtIEVsIFNoZWlraJIBD2JlYWNoX3BhdmlsbGlvbuABAA!16s%2Fg%2F11gph8c849?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00025,Nabq Nature Reserve,South Sinai,4.6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0WnFMrnIHT2mfpkw0QiVGhwxbBbgzpXwO0pqmUYnE2XG60E5oaqSKOkXTeV_dRfQy_v64XV4YnbmEApapxkVVINbmG6zPeGB384vrZ6b5LmmM_jJYuoCfMFBRKAVbolssoZiTmQ=w426-h240-k-no,"https://www.google.com/maps/search/Nabq+Nature+Reserve,+Sharm+El+Sheikh?hl=en"
BCH-00026,North Beach - Marassi,Matrouh,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5e8iSWoL4RTgytgp0ac5l-EQVgqOV99ZtOG5FiwUjZu5GRHXaPw7WrDYGkSParA1ZxoZYCQHVkoRxTBtxHzJxaAui5PWcSUWKyPlOZRJh58QKfDp_aLdiWYh2oiFpzCcod5Eo=w408-h306-k-no,"https://www.google.com/maps/search/Marassi+Beach,+North+Coast?hl=en"
BCH-00027,Orange Bay,Red Sea,4.4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEFRCGnM3_YNj9lCSdlm6q9lDYjF-ADMT0i13kSPe61KMCGq-2imh-BkWJfEIhq30i4JOJenOXSnmRTJ5NXCkFFB-t9K-1fEDX38lCceDRbYPD0JZMMtnQHjquB0ajc9l0bkKL=w408-h306-k-no,"https://www.google.com/maps/search/Orange+Bay,+Hurghada?hl=en"
BCH-00028,"Pharaoh's Island, River Thames",,4.4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAErW2jdp_WxLvSjqLv0FHhtYAY05n3GuXzAKW8n1QxVWOBIhqvKwTCjZNd5T_v0EjCXsCY4pJqnE6AOMLEyX0mO1dJ8NOHAU5XVosEhaOWL5cyBMyFYNt99q2zDSQjNfBUcdiOZ=w408-h306-k-no,"https://www.google.com/maps/search/Pharoah's+Island,+Taba?hl=en"
BCH-00029,Pyramisa Beach Resort Sahl Hasheesh,Red Sea,4.4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZIW2KDP7bDGRV9sW7If5r6-kQwiGr1P2UY2qTfUgv2cxULWyddPXm6QEMwyXlhJ9sISOwMbQSKPAIrBICIpz9YsTf7QSgAwoQtQKdTkcW8skqRbxTLgVJ8byEu9znUFX9iv-OLx-KQyYW=w408-h271-k-no,"https://www.google.com/maps/place/Pyramisa+Beach+Resort+Sahl+Hasheesh/@27.0375521,33.872901,13z/data=!4m13!1m2!2m1!1sSahl+Hasheesh+Beach,+Hurghada!3m9!1s0x144d7dc5815c8acd:0xdd2e99fccedb4bf2!5m2!4m1!1i2!8m2!3d27.0480217!4d33.900744!15sCh1TYWhsIEhhc2hlZXNoIEJlYWNoLCBIdXJnaGFkYVoeIhxzYWhsIGhhc2hlZXNoIGJlYWNoIGh1cmdoYWRhkgEMcmVzb3J0X2hvdGVsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVVIzY1RSSVIwTkJFQUXgAQD6AQQIABBH!16s%2Fg%2F1wcj_r8t?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00030,Qaitbay Citadel,Alexandria,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoU5QPcr3lt1puigrAhjU13E2LY3Ut_Tx3JuOUQGwjOyi_zrblNIsT8dWVGTG8UX9XmRHb652J3-nxrvGw2at0FeDo0wTgLm41YbDdh0Zf9yvx2T7D4TrBfgyjgdkzbobhqyn5=w408-h306-k-no,"https://www.google.com/maps/place/Qaitbay+Citadel/@31.2136987,29.8841046,18z/data=!4m10!1m2!2m1!1sCitadel+of+Qaitbay+Waterfront,+Alexandria!3m6!1s0x14f5c352282911bb:0xe59f8308f8b23d1f!8m2!3d31.2136987!4d29.8853921!15sCilDaXRhZGVsIG9mIFFhaXRiYXkgV2F0ZXJmcm9udCwgQWxleGFuZHJpYVoqIihjaXRhZGVsIG9mIHFhaXRiYXkgd2F0ZXJmcm9udCBhbGV4YW5kcmlhkgEGY2FzdGxlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S1JWVkVVbWxTV0VKMFYyNWFTbGxWTlVSUk1GWkZWVEIwV1ZNeFJSQULgAQD6AQQIGBA_!16s%2Fg%2F11pwrly5n4?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00031,Qarun Lake,Faiyum,4.2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlQ3IH9iE8ubhmVjaEwZPc_CFiKv0PoW0CpsdjllWeWNK8OOf8w8ozSQnprY8HeiRT7vJd8UgzLHtOV4zeMMh4vgIAM5EWRh4lHKXjuxYHZTgv_DmO_56PpG9KMvqMKTUhKYlVcQ=w408-h306-k-no,"https://www.google.com/maps/search/Lake+Qarun+Waterfront,+Fayoum?hl=en"
BCH-00032,Quseir Castle,Red Sea,4.3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfumbEpWCDFpbjHzrB3tiAXC2z-Jr-fVZLvUOX5LL3km_XZepfKpFcKBTlqwH7ImuK_j9tqFNIk40VfgG2LdhkYLcJRmv-I-W7Tgsdmm-sN6uwgZYtf4bA4I_bdIWfrVUw2fbgXQ=w408-h306-k-no,"https://www.google.com/maps/search/El+Quseir+Fort+Beach+area,+El+Quseir?hl=en"
BCH-00033,Ras Mohamed Nature Reserve,South Sinai,4.8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqU5a_27oXVMj-Otjilxgcl_jpuAvohZhmm4Se_qt4xq_bIIj5dIGO-52Qg9nS50mpE8LREfTcRStA5Md_vhDgulkbwKEELA6O8Xu9Mgu_Ni8hGP_e2OglaCDQqS7fxvxatJxx=w427-h240-k-no,"https://www.google.com/maps/place/Ras+Mohamed+Nature+Reserve/@27.7937578,34.1780397,17z/data=!3m1!4b1!4m6!3m5!1s0x145323f1925aa68d:0xd286ed81c3549345!8m2!3d27.7937578!4d34.1780397!16zL20vMGIxZ2Nn?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
